20150923-7,0,6,1,369,371
20150923-7,0,6,3,369,371
20150923-7,0,6,6,369,371
20150923-7,0,6,8,368,371
20150923-7,0,6,11,369,371
20150923-7,0,6,13,369,371
20150923-7,0,6,16,369,372
20150923-7,0,6,25,369,371
20150923-7,0,6,38,369,371
20150923-7,0,6,50,369,371
20150923-7,0,6,62,369,371
20150923-7,0,6,76,369,371
20150923-7,0,6,88,369,371
20150923-7,0,6,100,369,371
20150923-7,0,6,114,369,371
20150923-7,0,6,127,369,371
20150923-7,0,6,141,369,371
20150923-7,0,6,155,369,371
20150923-7,0,6,168,369,372
20150923-7,0,6,181,369,371
20150923-7,0,6,194,369,371
20150923-7,0,6,209,369,371
20150923-7,0,6,222,369,371
20150923-7,0,6,235,369,371
20150923-7,0,6,249,369,371
20150923-7,0,6,262,369,371
20150923-7,0,6,276,369,371
20150923-7,0,6,290,369,371
20150923-7,0,6,303,369,371
20150923-7,0,6,316,369,371
20150923-7,0,6,330,369,371
20150923-7,0,6,344,369,371
20150923-7,0,6,357,369,371
20150923-7,0,6,371,370,371
20150923-7,0,6,384,369,371
20150923-7,0,6,397,368,371
20150923-7,0,6,412,369,371
20150923-7,0,6,425,369,371
20150923-7,0,6,438,369,371
20150923-7,0,6,451,369,371
20150923-7,0,6,465,369,371
20150923-7,0,6,479,369,371
20150923-7,0,6,492,369,371
20150923-7,0,6,506,369,371
20150923-7,0,6,519,369,371
20150923-7,0,6,532,369,371
20150923-7,0,6,547,368,371
20150923-7,0,6,560,369,371
20150923-7,0,6,573,369,371
20150923-7,0,6,587,369,371
20150923-7,0,6,600,369,371
20150923-7,0,6,614,369,371
20150923-7,0,6,628,369,371
20150923-7,0,6,641,369,371
20150923-7,0,6,654,369,371
20150923-7,0,6,669,369,371
20150923-7,0,6,682,369,371
20150923-7,0,6,695,369,371
20150923-7,0,6,708,369,371
20150923-7,0,6,722,369,371
20150923-7,0,6,736,369,371
20150923-7,0,6,749,369,371
20150923-7,0,6,763,369,371
20150923-7,0,6,776,369,372
20150923-7,0,6,789,369,371
20150923-7,0,6,804,370,371
20150923-7,0,6,817,369,371
20150923-7,0,6,830,369,371
20150923-7,0,6,844,369,371
20150923-7,0,6,857,369,371
20150923-7,0,6,871,369,371
20150923-7,0,6,885,369,371
20150923-7,0,6,898,369,371
20150923-7,0,6,911,369,371
20150923-7,0,6,925,369,371
20150923-7,0,6,939,369,371
20150923-7,0,6,952,369,371
20150923-7,0,6,966,369,371
20150923-7,0,6,979,369,371
20150923-7,0,6,992,369,371
20150923-7,0,6,1006,369,371
20150923-7,0,6,1021,369,371
20150923-7,0,6,1035,369,371
20150923-7,0,6,1049,369,371
20150923-7,0,6,1064,369,371
20150923-7,0,6,1079,369,371
20150923-7,0,6,1094,369,371
20150923-7,0,6,1108,369,371
20150923-7,0,6,1122,369,371
20150923-7,0,6,1138,369,371
20150923-7,0,6,1152,369,371
20150923-7,0,6,1166,369,371
20150923-7,0,6,1181,369,371
20150923-7,0,6,1195,370,372
20150923-7,0,6,1210,371,373
20150923-7,0,6,1225,371,373
20150923-7,0,6,1239,372,374
20150923-7,0,6,1253,375,378
20150923-7,0,6,1269,379,381
20150923-7,0,6,1283,382,384
20150923-7,0,6,1297,385,386
20150923-7,0,6,1312,389,391
20150923-7,0,6,1326,394,396
20150923-7,0,6,1341,399,401
20150923-7,0,6,1356,402,404
20150923-7,0,6,1370,406,408
20150923-7,0,6,1384,410,412
20150923-7,0,6,1399,409,412
20150923-7,0,6,1414,405,407
20150923-7,0,6,1428,399,401
20150923-7,0,6,1443,392,394
20150923-7,0,6,1457,385,387
20150923-7,0,6,1472,379,382
20150923-7,0,6,1487,375,377
20150923-7,0,6,1501,373,374
20150923-7,0,6,1515,371,372
20150923-7,0,6,1530,369,371
20150923-7,0,6,1545,370,371
20150923-7,0,6,1559,369,371
20150923-7,0,6,1574,369,371
20150923-7,0,6,1588,369,371
20150923-7,0,6,1603,369,371
20150923-7,0,6,1618,369,371
20150923-7,0,6,1632,369,371
20150923-7,0,6,1646,369,371
20150923-7,0,6,1661,369,371
20150923-7,0,6,1676,369,371
20150923-7,0,6,1691,369,371
20150923-7,0,6,1705,369,371
20150923-7,0,6,1719,368,371
20150923-7,0,6,1735,369,371
20150923-7,0,6,1749,369,371
20150923-7,0,6,1763,369,371
20150923-7,0,6,1778,368,370
20150923-7,0,6,1792,368,369
20150923-7,0,6,1807,368,369
20150923-7,0,6,1822,366,368
20150923-7,0,6,1836,365,367
20150923-7,0,6,1850,364,366
20150923-7,0,6,1865,363,365
20150923-7,0,6,1880,363,364
20150923-7,0,6,1894,361,363
20150923-7,0,6,1909,359,362
20150923-7,0,6,1923,358,360
20150923-7,0,6,1938,357,359
20150923-7,0,6,1953,355,357
20150923-7,0,6,1967,354,356
20150923-7,0,6,1981,354,356
20150923-7,0,6,1996,353,355
20150923-7,0,6,2011,353,355
20150923-7,0,6,2025,353,355
20150923-7,0,6,2040,354,356
20150923-7,0,6,2054,354,357
20150923-7,0,6,2069,356,357
20150923-7,0,6,2084,357,358
20150923-7,0,6,2098,359,361
20150923-7,0,6,2112,362,364
20150923-7,0,6,2127,365,367
20150923-7,0,6,2142,368,371
20150923-7,0,6,2156,369,371
20150923-7,0,6,2171,369,371
20150923-7,0,6,2185,369,371
20150923-7,0,6,2200,369,371
20150923-7,0,6,2215,369,371
20150923-7,0,6,2229,369,372
20150923-7,0,6,2243,369,372
20150923-7,0,6,2258,370,371
20150923-7,0,6,2273,369,371
20150923-7,0,6,2288,369,371
20150923-7,0,6,2302,369,371
20150923-7,0,6,2316,369,371
20150923-7,0,6,2331,369,371
20150923-7,0,6,2346,369,371
20150923-7,0,6,2360,369,370
20150923-7,0,6,2375,369,371
20150923-7,0,6,2389,369,371
20150923-7,0,6,2404,369,371
20150923-7,0,6,2419,369,371
20150923-7,0,6,2433,369,371
20150923-7,0,6,2447,369,371
